,EventTime,Origin,Destination
1,2013.598961,Caribbean,Northeast
2,2016.097001,Northeast,Caribbean
3,2014.946581,Northeast,Caribbean
5,2015.198641,Northeast,Southeast
6,2016.356571,Southeast,Caribbean
7,2016.260941,Northeast,Southeast
9,2016.329231,Northeast,Southeast
10,2013.963341,Northeast,Southeast
11,2015.916431,Southeast,Rio_de_Janeiro
12,2014.327211,Northeast,Rio_de_Janeiro
13,2018.294521,Northeast,Midwest
14,2014.291171,Northeast,Southeast
15,2016.605191,Southeast,Caribbean
17,2015.656171,Northeast,Southeast
18,2016.285531,Northeast,Rio_de_Janeiro
19,2014.499571,Northeast,Rio_de_Janeiro
20,2016.331971,Rio_de_Janeiro,Midwest
21,2017.182191,Northeast,Midwest
22,2016.312841,Northeast,Southeast
31,2016.162571,Northeast,Southeast
32,2014.573221,Northeast,Midwest
35,2015.938361,Northeast,Midwest
40,2016.280061,Northeast,Rio_de_Janeiro
41,2017.415081,Northeast,Midwest
42,2017.494531,Northeast,Midwest
44,2016.430341,Northeast,Caribbean
45,2015.604631,Northeast,Southeast
49,2014.777061,Northeast,Caribbean
50,2016.288261,Caribbean,Rio_de_Janeiro
51,2016.250011,Caribbean,Rio_de_Janeiro
52,2016.504111,Caribbean,Caribbean
53,2016.471321,Caribbean,Caribbean
54,2016.356571,Caribbean,Rio_de_Janeiro
56,2016.236341,Northeast,Rio_de_Janeiro
57,2014.121771,Northeast,Rio_de_Janeiro
63,2016.583351,Caribbean,Caribbean
69,2017.297271,Caribbean,Caribbean
71,2015.943831,Northeast,Midwest
72,2016.315571,Northeast,Southeast
76,2016.258201,Northeast,Rio_de_Janeiro
77,2016.326511,Northeast,Midwest
78,2015.472381,Northeast,Midwest
79,2016.299181,Midwest,Southeast
80,2017.053421,Northeast,Midwest
81,2016.211751,Northeast,Southeast
82,2014.607101,Northeast,Caribbean
83,2014.763031,Caribbean,Rio_de_Janeiro
84,2016.627051,Caribbean,Caribbean
86,2016.023981,Caribbean,Caribbean
87,2016.101631,Caribbean,Caribbean